player1boxes,player2boxes,ballpositions,ballvelocities
"(572.0, 651.0, 708.0, 833.0)","(1121.1924658449097, 185.17407405052924, 1176.7799006609862, 272.9844722850423)","(663.0, 612.0)",969.3296652842107
"(564.0, 652.0, 706.0, 836.0)","(1119.5021754625975, 183.76232814035993, 1175.293344208819, 273.5011654910095)","(654.0, 615.0)",569.2099788303083
"(559.0, 657.0, 700.0, 833.0)","(1117.475585236744, 181.2701860705729, 1172.0773783346547, 270.8008744690067)","(642.0, 618.0)",742.1590126111789
"(553.0, 660.0, 698.0, 832.0)","(1115.8781935934965, 181.62648646326653, 1169.2629817049499, 272.3177268780206)","(630.0, 633.0)",1152.5623627379127
"(551.0, 661.0, 694.0, 832.0)","(1113.1511447093417, 180.47387473353456, 1165.4012046275288, 271.24684940094966)","(606.0, 627.0)",1484.3180252223578
"(544.0, 660.0, 692.0, 828.0)","(1111.1229806327797, 179.44933479543437, 1161.6667252489851, 270.5197178378608)","(None, None)",117.45344822524369
"(533.0, 663.0, 690.0, 830.0)","(1110.1549566669387, 178.82188411752244, 1158.4637108348415, 270.84513267434824)","(None, None)",117.45344822524369
"(530.0, 665.0, 686.0, 831.0)","(1109.0910485960421, 177.6693126433051, 1155.3501949986721, 270.2023695534722)","(None, None)",117.45344822524369
"(527.0, 663.0, 683.0, 835.0)","(1108.1347459799783, 177.09594945728566, 1152.988886289668, 270.07666035317806)","(None, None)",117.45344822524369
"(524.0, 664.0, 671.0, 831.0)","(1106.7664456475038, 176.54067715103224, 1150.0475367000965, 269.2925525315913)","(None, None)",117.45344822524369
"(521.0, 667.0, 664.0, 829.0)","(1104.9948921049559, 176.03333962070397, 1147.3224461563154, 268.68669648582465)","(None, None)",117.45344822524369
"(526.0, 672.0, 655.0, 824.0)","(1103.0796775562228, 175.39929511208075, 1144.4600430680978, 267.92971174193997)","(None, None)",117.45344822524369
"(528.0, 673.0, 653.0, 823.0)","(1101.7121257405893, 174.6062127325797, 1141.690676543249, 267.3268508505586)","(None, None)",117.45344822524369
"(538.0, 678.0, 640.0, 825.0)","(1099.6890763956624, 173.6334764875846, 1138.5054031708917, 266.3065015671559)","(None, None)",117.45344822524369
"(535.0, 680.0, 628.0, 820.0)","(1098.183758838044, 172.21486208122516, 1136.5319805218714, 265.1285697124913)","(None, None)",117.45344822524369
"(530.0, 681.0, 630.0, 820.0)","(1095.835351191855, 170.72800548279994, 1134.0920216434615, 263.8891320192618)","(None, None)",117.45344822524369
"(527.0, 678.0, 630.0, 820.0)","(1093.6385677474655, 170.45264698044068, 1131.5487745597115, 263.8489607846266)","(None, None)",117.45344822524369
"(531.0, 681.0, 634.0, 820.0)","(1091.6042357802123, 170.6560692920457, 1129.9386992722918, 264.0667428511283)","(None, None)",117.45344822524369
"(528.0, 679.0, 629.0, 820.0)","(1088.6938517805488, 169.96605273939164, 1128.3681409154915, 263.77930187694653)","(None, None)",117.45344822524369
"(531.0, 679.0, 629.0, 822.0)","(1085.4788014050412, 169.4414422295576, 1126.4312191408478, 262.76857624794405)","(None, None)",117.45344822524369
"(531.0, 681.0, 631.0, 821.0)","(1080.931544939953, 168.8741403648374, 1123.3760451926776, 262.05843017973774)","(615.0, 597.0)",117.45344822524369
"(527.0, 681.0, 644.0, 819.0)","(1076.8313447342384, 169.32503241745852, 1120.6251626166386, 261.74329481351947)","(627.0, 579.0)",1297.9984591670361
"(528.0, 679.0, 654.0, 816.0)","(1072.4070983020986, 169.94047609968655, 1117.247872274597, 262.0337690596514)","(642.0, 558.0)",1548.4185480676729
"(531.0, 679.0, 661.0, 817.0)","(1068.2675389751003, 169.60363275469456, 1114.3005751926676, 261.2704770792111)","(663.0, 540.0)",1659.5180023127198
"(533.0, 678.0, 668.0, 817.0)","(1064.1414316820935, 169.2996884868906, 1111.3964909989984, 260.48487580973136)","(678.0, 525.0)",1272.7922061357856
"(532.0, 677.0, 675.0, 821.0)","(1059.587465305168, 169.92453550897272, 1107.91207896444, 260.03804089331084)","(684.0, 510.0)",969.3296652842107
"(531.0, 674.0, 674.0, 823.0)","(1056.1529482663132, 170.42536796844053, 1105.307382895051, 259.3088560376452)","(699.0, 498.0)",1152.5623627379127
"(530.0, 673.0, 677.0, 824.0)","(1053.3052231964355, 170.88214663249192, 1103.0796501375223, 258.6625039294732)","(714.0, 483.0)",1272.7922061357856
"(531.0, 671.0, 676.0, 825.0)","(1049.5305486054026, 171.8349993672142, 1100.3684279712356, 258.72353415745465)","(729.0, 471.0)",1152.5623627379127
"(532.0, 671.0, 678.0, 831.0)","(1048.2955316429761, 173.28976149608843, 1099.716647992278, 258.5235538935262)","(735.0, 453.0)",1138.4199576606165
"(533.0, 673.0, 678.0, 833.0)","(1047.4039827060128, 174.4958195455063, 1099.0350843689976, 258.3013270416633)","(750.0, 438.0)",1272.7922061357856
